"","device","time","cp_tp","rd","msd","model","method"
"1",73,0,221.760137242562,49.5975023126314,51637.4707054914,"HMM-network","RSS_TA"
"2",73,10,111.897127188948,163.942820440392,39398.2154470903,"HMM-network","RSS_TA"
"3",73,20,17.9712975806421,237.697728252145,56823.1775529625,"HMM-network","RSS_TA"
"4",73,30,53.0251971431954,281.32579705857,81955.8756227146,"HMM-network","RSS_TA"
"5",73,40,142.843861340896,253.240877893903,84535.3109592518,"HMM-network","RSS_TA"
"6",73,50,195.633540890602,221.645603615755,87399.255923587,"HMM-network","RSS_TA"
"7",73,60,225.289190835016,199.592601108023,90592.4259241627,"HMM-network","RSS_TA"
"8",73,70,242.282450131599,188.296059426503,94156.1916373201,"HMM-network","RSS_TA"
"9",73,80,252.548777971537,185.340877817004,98132.1262448944,"HMM-network","RSS_TA"
"10",73,90,259.414182690631,187.804817612268,102566.367699425,"HMM-network","RSS_TA"
"11",73,100,264.76521692708,193.419953554506,107511.898527471,"HMM-network","RSS_TA"
"12",73,110,269.70854684351,200.716244347182,113029.710985276,"HMM-network","RSS_TA"
"13",73,120,274.937889813087,208.803070975675,119189.565703746,"HMM-network","RSS_TA"
"14",73,130,280.937577001085,217.128469905473,126070.694614732,"HMM-network","RSS_TA"
"15",73,140,288.095454829688,225.307816700671,133762.603359948,"HMM-network","RSS_TA"
"16",73,150,296.765378981001,233.015759897922,142366.034522543,"HMM-network","RSS_TA"
"17",73,160,307.301431770526,239.916526757004,151994.109779359,"HMM-network","RSS_TA"
"18",73,170,178.938329149563,245.611427254843,92343.8988369987,"HMM-network","RSS_TA"
"19",73,180,328.850295233784,249.587374598918,170436.374234527,"HMM-network","RSS_TA"
"20",73,190,187.071591940229,251.150858093966,98072.5340323871,"HMM-network","RSS_TA"
"21",73,200,289.802769752192,249.324807595108,146148.50503838,"HMM-network","RSS_TA"
"22",73,210,298.708080254579,242.662046523067,148111.386032139,"HMM-network","RSS_TA"
"23",73,220,312.923086989984,228.853865892442,150294.950305257,"HMM-network","RSS_TA"
"24",73,230,333.47682903086,203.723120659626,152709.905391774,"HMM-network","RSS_TA"
"25",73,240,361.304689232343,157.518057597379,155353.016930531,"HMM-network","RSS_TA"
"26",73,250,244.009260808512,25.098072133134,60170.4325851165,"HMM-network","RSS_TA"
"27",73,260,95.037222335995,37.6635536425742,10450.6169023284,"HMM-network","RSS_TA"
"28",73,270,94.0844436955409,46.0222406564267,10969.9291805375,"HMM-network","RSS_TA"
"29",73,280,93.6110318656642,49.6157396662045,11224.746909579,"HMM-network","RSS_TA"
"30",73,290,93.6216521045147,49.6870911368446,11233.8207684199,"HMM-network","RSS_TA"
"31",73,300,94.1191625893615,46.2730133757105,10999.6085333913,"HMM-network","RSS_TA"
"32",73,310,95.104911437484,38.2677656866855,10509.3660701827,"HMM-network","RSS_TA"
"33",73,320,228.129159474338,38.5191578711242,53526.6389255686,"HMM-network","RSS_TA"
"34",73,330,63.6678363161908,38.5752093343841,5541.64015637682,"HMM-network","RSS_TA"
"35",73,340,181.219255160165,111.942686691367,45371.5835444863,"HMM-network","RSS_TA"
"36",73,350,327.917068089234,148.492503976859,129579.627281557,"HMM-network","RSS_TA"
"37",73,360,312.428362418236,172.15246680962,127247.953471978,"HMM-network","RSS_TA"
"38",73,370,299.261434787663,188.98953580612,125274.450995383,"HMM-network","RSS_TA"
"39",73,380,288.183014577558,201.615016535605,123698.064783661,"HMM-network","RSS_TA"
"40",73,390,279.00704440699,211.538937978907,122593.653109968,"HMM-network","RSS_TA"
"41",73,400,271.609038376628,219.842433153476,122102.165142717,"HMM-network","RSS_TA"
"42",73,410,265.949518926465,227.487756395727,122479.82592718,"HMM-network","RSS_TA"
"43",73,420,117.064448868631,235.541051695757,69183.6722228596,"HMM-network","RSS_TA"
"44",73,430,113.852690435219,245.421766906842,73194.2787910143,"HMM-network","RSS_TA"
"45",73,440,80.2392438006226,259.534414867409,73796.4487462643,"HMM-network","RSS_TA"
"46",103,0,412.144895880454,59.0612813988691,173351.650160787,"HMM-network","RSS_TA"
"47",103,10,409.121259254526,59.0609968244253,170868.406119904,"HMM-network","RSS_TA"
"48",103,20,409.121296579174,59.060747617784,170868.407223796,"HMM-network","RSS_TA"
"49",103,30,409.121329891968,59.0605261884555,170868.40832623,"HMM-network","RSS_TA"
"50",103,40,409.121359580852,59.0603290123475,170868.409328332,"HMM-network","RSS_TA"
"51",103,50,409.121386016453,59.0601534700544,170868.41022393,"HMM-network","RSS_TA"
"52",103,60,409.121409532967,59.0599973160376,170868.411021212,"HMM-network","RSS_TA"
"53",103,70,409.121430428383,59.0598585672399,170868.411729748,"HMM-network","RSS_TA"
"54",103,80,409.121448967588,59.0597354640637,170868.412358424,"HMM-network","RSS_TA"
