"","k","i","j","TA","area"
"1",1,1,1,18,250.098670067053
"2",1,1,1,19,62249.9013299329
"3",1,1,2,18,27404.3471033503
"4",1,1,2,19,35095.6528966497
"5",1,1,3,18,60551.4735446038
"6",1,1,3,19,1948.52645539619
"7",1,1,4,18,62500
"8",1,1,5,17,621.293557868472
"9",1,1,5,18,61878.7064421315
"10",1,1,6,17,25883.663582543
"11",1,1,6,18,36616.336417457
"12",1,1,7,17,57929.0156782876
"13",1,1,7,18,4570.98432171239
"14",1,1,8,17,62500
"15",1,1,9,17,62500
"16",1,1,10,16,6075.65458086317
"17",1,1,10,17,56424.3454191368
"18",1,1,11,16,33323.7568810944
"19",1,1,11,17,29176.2431189056
"20",1,1,12,16,58150.2924103978
"21",1,1,12,17,4349.70758960219
"22",1,1,13,16,62500
"23",1,1,14,16,62500
"24",1,1,15,16,62500
"25",1,1,16,15,4833.20151228946
"26",1,1,16,16,57666.7984877105
"27",1,1,17,15,22357.7873109363
"28",1,1,17,16,40142.2126890637
"29",1,1,18,15,38767.353708573
"30",1,1,18,16,23732.646291427
"31",1,1,19,15,53249.629089057
"32",1,1,19,16,9250.37091094298
"33",1,1,20,15,62219.9189826565
"34",1,1,20,16,280.081017343517
"35",1,1,21,15,62500
"36",1,1,22,15,62500
"37",1,1,23,15,62500
"38",1,1,24,15,62500
"39",1,1,25,15,62500
"40",1,1,26,15,62500
"41",1,1,27,15,62500
"42",1,1,28,15,62500
"43",1,1,29,15,62500
"44",1,1,30,15,62500
"45",1,1,31,15,62500
"46",1,1,32,15,62500
"47",1,1,33,15,62230.3852782509
"48",1,1,33,16,269.61472174908
"49",1,1,34,15,53303.7417846177
"50",1,1,34,16,9196.25821538231
"51",1,1,35,15,38829.0942941691
"52",1,1,35,16,23670.9057058309
"53",1,1,36,15,22427.3219217005
"54",1,1,36,16,40072.6780782995
"55",1,1,37,15,4887.3473247741
"56",1,1,37,16,57612.6526752259
"57",1,1,38,16,62500
"58",1,1,39,16,62500
"59",1,1,40,16,62500
"60",1,2,1,18,43512.197422562
"61",1,2,1,19,18987.802577438
"62",1,2,2,18,62500
"63",1,2,3,18,62500
"64",1,2,4,17,10327.8236187856
"65",1,2,4,18,52172.1763812144
"66",1,2,5,17,49042.9889072198
"67",1,2,5,18,13457.0110927802
"68",1,2,6,17,62500
"69",1,2,7,17,62500
"70",1,2,8,16,4849.82194837433
"71",1,2,8,17,57650.1780516257
"72",1,2,9,16,34872.3211888514
"73",1,2,9,17,27627.6788111486
"74",1,2,10,16,60415.0806280124
"75",1,2,10,17,2084.91937198761
"76",1,2,11,16,62500
"77",1,2,12,16,62500
"78",1,2,13,15,2705.32575680179
"79",1,2,13,16,59794.6742431982
"80",1,2,14,15,23580.8067455378
"81",1,2,14,16,38919.1932544622
"82",1,2,15,15,46070.352306277
"83",1,2,15,16,16429.647693723
"84",1,2,16,15,61642.88588245
"85",1,2,16,16,857.11411754998
"86",1,2,17,15,62500
"87",1,2,18,15,62500
"88",1,2,19,15,62500
"89",1,2,20,15,62500
"90",1,2,21,14,756.094901001756
"91",1,2,21,15,61743.9050989982
"92",1,2,22,14,8276.64684134003
"93",1,2,22,15,54223.35315866
"94",1,2,23,14,15858.3711118685
"95",1,2,23,15,46641.6288881315
"96",1,2,24,14,21527.3914969726
"97",1,2,24,15,40972.6085030274
"98",1,2,25,14,25299.3874894001
"99",1,2,25,15,37200.6125105999
"100",1,2,26,14,27184.6967869667
"101",1,2,26,15,35315.3032130333
"102",1,2,27,14,27188.4581677119
"103",1,2,27,15,35311.5418322881
"104",1,2,28,14,25310.6818653221
"105",1,2,28,15,37189.3181346779
"106",1,2,29,14,21546.2497088531
"107",1,2,29,15,40953.7502911469
"108",1,2,30,14,15884.8450312273
"109",1,2,30,15,46615.1549687727
"110",1,2,31,14,8310.81009168533
"111",1,2,31,15,54189.1899083147
"112",1,2,32,14,771.543762749969
"113",1,2,32,15,61728.45623725
"114",1,2,33,15,62500
"115",1,2,34,15,62500
"116",1,2,35,15,62500
"117",1,2,36,15,62500
"118",1,2,37,15,61666.2616473248
"119",1,2,37,16,833.738352675195
"120",1,2,38,15,46156.0835436471
"121",1,2,38,16,16343.9164563529
"122",1,2,39,15,23675.0036775948
"123",1,2,39,16,38824.9963224052
"124",1,2,40,15,2752.02182249986
"125",1,2,40,16,59747.9781775001
"126",1,3,1,18,62500
"127",1,3,2,17,141.103958593688
"128",1,3,2,18,62358.8960414063
"129",1,3,3,17,26688.8123736737
"130",1,3,3,18,35811.1876263263
"131",1,3,4,17,60492.0865521826
"132",1,3,4,18,2007.91344781735
"133",1,3,5,17,62500
"134",1,3,6,16,755.283579789108
"135",1,3,6,17,61744.7164202109
"136",1,3,7,16,26840.900350952
"137",1,3,7,17,35659.099649048
"138",1,3,8,16,58512.9445757151
"139",1,3,8,17,3987.05542428487
