device,time,tile,event_cellID,TA,eventLocProb
,,0,01,17,9.01476056333927e-05
,,0,01,18,6.31652644145355e-06
,,0,02,21,4.98095776531606e-06
,,0,02,22,1.07975475744704e-05
,,0,03,15,4.04314323091836e-05
,,0,03,16,7.51605591243287e-06
,,0,04,19,1.52183917776742e-06
,,0,04,20,8.21383119217468e-06
,,0,05,15,1.6331651993535e-05
,,0,05,16,5.01677404261913e-06
,,0,06,9,7.90672053140259e-05
,,0,06,10,0.000314995977828141
,,0,07,12,3.50727514235939e-05
,,0,07,13,8.48401361404698e-05
,,0,08,14,5.11367629039297e-09
,,0,08,15,8.53142438083284e-07
,,0,08,16,2.90344458561761e-08
,,0,09,14,3.33989822160465e-09
,,0,09,15,5.57213392072349e-07
,,0,09,16,1.89632836678575e-08
,,0,10,14,1.30867929853502e-07
,,0,10,15,2.18334087654087e-05
,,0,10,16,7.43042306134977e-07
,,0,11,15,5.11946162025344e-05
,,0,11,16,9.0288656877226e-06
,,0,12,3,0.00494793482103461
,,0,12,4,0.0067917344219872
,,0,13,5,0.00171972951853893
,,0,13,6,0.00104610288994754
,,0,14,15,9.90752337717697e-05
,,0,14,16,2.28564727334291e-07
,,0,15,11,1.34214735444963e-05
,,0,15,12,2.1082241713825e-05
,,0,16,16,1.51292674691877e-06
,,0,16,17,1.47375408162072e-05
,,0,17,18,6.71989704309181e-06
,,0,17,19,2.074423390599e-05
,,0,18,16,1.50646292964722e-05
,,0,18,17,2.78263400132742e-05
,,0,19,12,4.43156625234367e-05
,,0,19,13,7.69857508373467e-05
,,0,20,15,1.70547554419643e-05
,,0,20,16,3.69169151617991e-05
,,0,21,10,6.98893139492079e-05
,,0,21,11,3.64431459896428e-05
,,0,22,13,4.53512607952398e-05
,,0,22,14,4.84623520048441e-05
,,0,23,8,0.000244902660127681
,,0,23,9,2.2315433370576e-05
,,0,24,9,4.09730768024636e-05
,,0,24,10,0.000269315552660648
,,0,25,5,5.65435183576279e-05
,,0,25,6,0.00185107666808536
,,0,25,7,1.22676677645523e-05
,,0,26,7,3.73988771943354e-05
,,0,26,8,0.000270540949584742
,,0,27,6,0.00151171690639259
,,0,27,7,0.000191876149445848
,,0,28,12,3.08106244617703e-05
,,0,28,13,2.2005418608114e-05
,,0,29,12,1.49070737235336e-06
,,0,29,13,3.84621334596295e-05
,,0,29,14,4.92254288013604e-07
,,0,30,13,3.33308008746477e-05
,,0,30,14,7.91368184538105e-06
,,0,31,15,3.33580322444651e-06
,,0,31,16,1.76954843173689e-05
