t,AntennaId,EventCode,PhoneId,NetworkType,TA,x,y,TileId
0,46,0,144,3G,0,6454.457814,2576.478363,112
0,37,0,768,3G,1,959.543510,1748.160310,61
0,21,0,725,3G,1,1307.137313,5840.893647,222
0,48,0,618,3G,1,4045.487848,2152.614874,88
0,34,0,500,3G,1,8948.560264,7812.686848,317
0,67,0,603,3G,0,9139.729386,5050.876712,218
0,24,0,543,3G,0,2626.369516,5244.400624,205
0,19,0,477,3G,1,467.738918,6837.066793,260
0,48,0,281,3G,0,4786.531629,2627.953596,109
0,53,0,581,3G,0,7830.680796,3557.975518,155
0,25,0,474,3G,1,1077.223575,2898.007363,102
0,37,0,743,3G,0,1881.447095,1587.662865,63
0,32,0,302,3G,0,6537.616825,7760.849218,313
0,53,0,367,3G,0,7963.343440,2982.361152,115
0,25,0,729,3G,1,2523.136707,3756.204400,145
0,59,0,590,3G,0,7617.957922,6451.183300,255
0,46,0,524,3G,0,6006.258431,2552.694002,112
0,19,0,175,3G,1,1457.408535,7846.476172,302
0,17,0,214,3G,1,6009.652152,9141.330196,372
0,58,0,577,3G,0,7765.834269,6642.987204,275
0,58,0,626,3G,1,8618.651558,7026.518401,297
0,21,0,356,3G,1,134.620174,6519.736214,260
0,69,0,572,3G,0,4768.143115,4940.643852,189
0,54,0,153,3G,1,8516.279713,3910.674076,157
0,67,0,207,3G,0,9410.849683,5571.547554,238
0,32,0,682,3G,1,7026.007285,7711.155415,314
0,23,0,750,3G,1,1446.692640,5170.780878,202
0,53,0,616,3G,1,7437.972542,3811.055472,154
0,57,0,125,3G,0,9818.770168,3632.678750,159
0,52,0,172,3G,0,7108.977490,2654.567250,114
0,65,0,327,3G,0,7208.343318,4193.273097,174
0,43,0,349,3G,0,9467.436428,5134.564990,218
0,42,0,570,3G,0,8564.375586,6123.754182,257
0,25,0,473,3G,1,1077.223575,2898.007363,102
0,21,0,209,3G,0,304.461077,6033.986805,240
0,30,0,248,3G,0,5946.964683,5756.375429,231
0,66,0,414,3G,1,4466.279812,3910.056799,148
0,32,0,303,3G,0,6537.616825,7760.849218,313
0,21,0,216,3G,0,1110.237507,6276.510673,242
0,68,0,183,3G,0,8397.165849,5286.190076,216
0,63,0,86,3G,0,4769.155796,1811.106452,69
0,40,0,431,3G,0,5099.946767,2483.450281,90
0,19,0,478,3G,1,467.738918,6837.066793,260
0,42,0,521,3G,0,8651.400168,5936.719370,237
0,17,0,374,3G,0,5578.910441,9231.297140,371
0,32,0,631,3G,0,6870.340129,8326.332663,333
0,13,0,103,3G,1,653.920071,4148.827839,161
0,37,0,170,3G,1,2102.903323,2201.447488,84
0,24,0,238,3G,1,2483.758789,6102.615708,244
0,33,0,135,3G,1,1062.714405,773.218683,22
0,22,0,160,3G,1,1744.238373,8075.594566,323
0,5,0,622,3G,0,7400.535763,5907.503451,234
