tile,antennaID,RSS,mno_name,maxconnections,x,y,SDM,SDM_ori,RSS_ori,nAntCover,rasterCell
0,01,,MNO1,56,500,10000,,1.87138860578899e-08,-111.588,1,381
0,02,,MNO1,56,8000,9750,,3.1516978319956e-14,-119.451,1,381
0,03,,MNO1,56,5750,7000,,2.92879566272198e-14,-114.624,1,381
0,04,,MNO1,56,9750,6250,,5.75890055660183e-17,-121.548,1,381
0,05,,MNO1,56,7250,5500,,1.20248626622833e-14,-118.138,1,381
0,06,,MNO1,56,4000,4500,,1.10235734737394e-10,-105.476,1,381
0,07,,MNO1,56,6500,4000,,6.22697899030096e-14,-110.643,1,381
0,08,,MNO1,56,8000,4000,,5.50618522026748e-22,-131.951,1,381
0,09,,MNO1,56,8000,4000,,8.65776961232841e-23,-133.801,1,381
0,10,,MNO1,56,8000,4000,,7.18044592663114e-16,-117.87,1,381
0,11,,MNO1,56,8500,3000,,3.23993345113896e-30,-113.634,1,381
0,12,,MNO1,56,250,2500,,1.98987249943329e-05,-90.7351,1,381
0,13,,MNO1,56,0,3500,,9.57629379555235e-08,-97.0134,1,381
0,14,,MNO1,56,8750,1500,,3.08855041624261e-20,-111.462,1,381
0,15,,MNO1,56,6750,1875,,4.30284484115377e-15,-116.053,1,381
0,16,,MNO1,56,9750,1750,,1.24082489321715e-15,-119.323,1,381
0,17,,MNO1,56,5500,9500,,1.21190233402994e-14,-117.044,1,381
0,18,,MNO1,56,3250,9250,,8.3996606138215e-14,-115.108,1,381
0,19,,MNO1,56,750,7500,,7.67540542299302e-12,-110.593,1,381
0,20,,MNO1,56,4250,8250,,2.27870251570087e-13,-114.11,1,381
0,21,,MNO1,56,650,6250,,4.33196442050075e-12,-111.165,1,381
0,22,,MNO1,56,2250,7750,,2.51436708527318e-12,-111.709,1,381
0,23,,MNO1,56,750,5000,,2.36990751150345e-10,-107.163,1,381
0,24,,MNO1,56,2500,5500,,4.53511721276125e-10,-106.514,1,381
0,25,,MNO1,56,1750,3500,,2.48833974514437e-08,-98.5989,1,381
0,26,,MNO1,56,3250,3750,,2.89645050315109e-11,-106.547,1,381
0,27,,MNO1,56,3250,2400,,1.60060347169801e-08,-99.118,1,381
0,28,,MNO1,56,3750,6500,,4.31799555170226e-14,-114.204,1,381
0,29,,MNO1,56,5000,6000,,1.61226706254538e-14,-115.363,1,381
0,30,,MNO1,56,6000,5250,,1.7330646268254e-14,-115.278,1,381
0,31,,MNO1,56,6750,6500,,1.44228173093913e-15,-118.203,1,381
0,32,,MNO1,56,6600,8300,,1.19020599229369e-15,-118.429,1,381
0,33,-71.5707,MNO1,56,1000,0,0.995785097461269,0.995785097461269,-71.5707,1,381
0,34,,MNO1,56,9250,8300,,1.93517271500463e-17,-123.275,1,381
0,35,,MNO1,56,9950,9750,,3.42578853321939e-18,-125.312,1,381
0,36,,MNO1,56,7700,7700,,1.44833046253021e-16,-120.907,1,381
0,37,,MNO1,56,1750,1750,,2.74794348976622e-06,-93.0643,1,381
0,38,,MNO1,56,4490,3225,,6.40088346900348e-11,-105.08,1,381
0,39,,MNO1,56,5750,1250,,1.61953006352567e-11,-106.607,1,381
0,40,,MNO1,56,5100,2950,,1.80261073591434e-11,-106.488,1,381
0,41,,MNO1,56,9500,7500,,1.79635837012185e-16,-120.284,1,381
0,42,,MNO1,56,8515,5700,,4.13578186361855e-15,-116.799,1,381
0,43,,MNO1,56,9650,5000,,2.3534710993329e-14,-114.867,1,381
0,44,,MNO1,56,6750,3250,,1.38530608597631e-12,-110.339,1,381
0,45,,MNO1,56,5475,3500,,1.39227071604462e-11,-107.775,1,381
0,46,,MNO1,56,6250,2500,,2.43880022893217e-13,-112.269,1,381
0,47,,MNO1,56,8750,4750,,1.01907087154633e-14,-115.797,1,381
0,48,,MNO1,56,4430,2575,,3.75899235037707e-10,-104.113,1,381
0,49,,MNO1,56,4750,750,,5.56744378372999e-11,-106.235,1,381
0,50,,MNO1,56,9250,1000,,4.0132095267352e-14,-114.274,1,381
0,51,,MNO1,56,9250,3000,,5.99461453044753e-16,-118.945,1,381
0,52,,MNO1,56,7500,2500,,1.7252833569927e-14,-115.212,1,381
0,53,,MNO1,56,7800,3200,,2.08528640207407e-13,-112.443,1,381
0,54,,MNO1,56,8950,3550,,2.54515436380263e-14,-114.78,1,381
0,55,,MNO1,56,9500,4250,,1.24492637909436e-15,-118.133,1,381
0,56,,MNO1,56,9250,2250,,3.45582594972674e-16,-119.557,1,381
0,57,,MNO1,56,9880,3371,,7.04611495636884e-15,-116.207,1,381
0,58,,MNO1,56,8000,7000,,5.59613619770667e-15,-116.463,1,381
0,59,,MNO1,56,8000,6250,,3.17548852898374e-16,-119.651,1,381
0,60,,MNO1,56,5750,4500,,2.86105747191218e-14,-114.65,1,381
0,61,,MNO1,56,8500,2250,,1.03159506266842e-13,-113.225,1,381
0,62,,MNO1,56,8030,2650,,1.94917500544231e-13,-112.518,1,381
0,63,,MNO1,56,4750,2000,,5.61056220539806e-10,-103.668,1,381
0,64,,MNO1,56,7750,4750,,1.88339574505927e-15,-117.673,1,381
0,65,,MNO1,56,7000,4500,,7.94924054292076e-15,-116.073,1,381
0,66,,MNO1,56,5100,4000,,1.47216782141235e-11,-107.713,1,381
0,67,,MNO1,56,9250,5500,,4.53750088626327e-15,-116.696,1,381
0,68,,MNO1,56,8250,5250,,3.45138774437418e-15,-117,1,381
0,69,,MNO1,56,4750,5250,,4.77450976629018e-14,-114.081,1,381
0,70,,MNO1,56,8700,6500,,1.06583815315125e-16,-120.864,1,381
1,01,,MNO1,56,500,10000,,1.87138860578899e-08,-111.588,1,382
1,02,,MNO1,56,8000,9750,,4.36095601105893e-14,-119.018,1,382
1,03,,MNO1,56,5750,7000,,5.06215003885901e-14,-114.016,1,382
